time 	 pi1 	 pi2 	 pi3 	 pi4 	 hive 
7.4 	 -28.682053 	 -18.309155 	 -28.447573 	 -28.893469 	 -18.309155
7.5 	 -28.864001 	 -18.293896 	 -29.012354 	 -28.274057 	 -18.293896
7.6 	 -28.539189 	 -18.306974 	 -28.725374 	 -29.170902 	 -18.306974
7.7 	 -28.856649 	 -18.839962 	 -28.982480 	 -28.812670 	 -18.839962
7.8 	 -29.004876 	 -17.893789 	 -28.482696 	 -28.783474 	 -17.893789
7.9 	 -28.398638 	 -18.733923 	 -28.849304 	 -28.653291 	 -18.733923
8.0 	 -29.178524 	 -18.374858 	 -28.975028 	 -28.798059 	 -18.374858
8.1 	 -28.732615 	 -18.076656 	 -28.482696 	 -29.012354 	 -18.076656
8.2 	 -28.596053 	 -18.800623 	 -29.316886 	 -28.461605 	 -18.800623
8.3 	 -28.997404 	 -18.224478 	 -28.603187 	 -29.247430 	 -18.224478
8.4 	 -28.761641 	 -18.510007 	 -28.725374 	 -28.689258 	 -18.510007
8.5 	 -29.064883 	 -18.233125 	 -28.754375 	 -28.617473 	 -18.233125
8.6 	 -28.412591 	 -18.302612 	 -28.631783 	 -28.997404 	 -18.302612
8.7 	 -28.952708 	 -18.768359 	 -29.027330 	 -28.617473 	 -18.768359
8.8 	 -28.790763 	 -18.083031 	 -28.475660 	 -28.871359 	 -18.083031
8.9 	 -28.525031 	 -18.697341 	 -28.945281 	 -28.754375 	 -18.697341
9.0 	 -29.232070 	 -18.492162 	 -29.079949 	 -28.841965 	 -18.492162
9.1 	 -28.754375 	 -18.140618 	 -28.267188 	 -29.132889 	 -18.140618
9.2 	 -28.849304 	 -18.554779 	 -29.363501 	 -28.267188 	 -18.554779
9.3 	 -28.581802 	 -18.233125 	 -28.710909 	 -29.072413 	 -18.233125
9.4 	 -28.710909 	 -18.604297 	 -28.567575 	 -28.915637 	 -18.604297
9.5 	 -29.255120 	 -18.263457 	 -28.997404 	 -28.419576 	 -18.263457
9.6 	 -28.370798 	 -18.512240 	 -28.682053 	 -29.186153 	 -18.512240
9.7 	 -29.012354 	 -18.548049 	 -29.163286 	 -28.631783 	 -18.548049
9.8 	 -28.812670 	 -18.008946 	 -28.440565 	 -29.064883 	 -18.008946
9.9 	 -28.553370 	 -18.835325 	 -29.034828 	 -28.553370 	 -18.835325
10.0 	 -29.072413 	 -18.015272 	 -28.588925 	 -28.768912 	 -18.015272
10.1 	 -28.454586 	 -18.296074 	 -28.517961 	 -28.841965 	 -18.296074
10.2 	 -29.042332 	 -18.622374 	 -29.262817 	 -28.496785 	 -18.622374
10.3 	 -28.560470 	 -18.248278 	 -28.489737 	 -29.270520 	 -18.248278
10.4 	 -28.871359 	 -18.512240 	 -28.945281 	 -28.510896 	 -18.512240
10.5 	 -28.768912 	 -18.074533 	 -28.553370 	 -28.864001 	 -18.074533
10.6 	 -28.489737 	 -18.679108 	 -28.849304 	 -28.754375 	 -18.679108
10.7 	 -29.247430 	 -18.237451 	 -28.975028 	 -28.710909 	 -18.237451
10.8 	 -28.574685 	 -18.166335 	 -28.475660 	 -28.967582 	 -18.166335
10.9 	 -29.072413 	 -22.891338 	 -28.849304 	 -23.539869 	 -22.891338
11.0 	 -17.457730 	 -28.812670 	 -29.155677 	 -28.960142 	 -17.457730
11.1 	 -18.802932 	 -28.937861 	 -28.798059 	 -28.893469 	 -18.802932
11.2 	 -18.217998 	 -28.952708 	 -28.682053 	 -28.871359 	 -18.217998
11.3 	 -18.559269 	 -28.496785 	 -28.900852 	 -28.503838 	 -18.559269
11.4 	 -18.289541 	 -29.201432 	 -28.560470 	 -29.170902 	 -18.289541
11.5 	 -18.341945 	 -28.447573 	 -28.893469 	 -28.356912 	 -18.341945
11.6 	 -18.399074 	 -28.908241 	 -28.574685 	 -28.900852 	 -18.399074
11.7 	 -18.174924 	 -28.805362 	 -29.042332 	 -28.783474 	 -18.174924
11.8 	 -18.736214 	 -28.718139 	 -28.871359 	 -28.638946 	 -18.736214
11.9 	 -18.187824 	 -28.982480 	 -28.517961 	 -29.034828 	 -18.187824
12.0 	 -18.385857 	 -28.596053 	 -29.163286 	 -28.674853 	 -18.385857
12.1 	 -18.383656 	 -29.057359 	 -28.489737 	 -28.923038 	 -18.383656
12.2 	 -18.202898 	 -28.581802 	 -29.132889 	 -28.638946 	 -18.202898
12.3 	 -18.584006 	 -28.841965 	 -28.482696 	 -28.718139 	 -18.584006
12.4 	 -18.222317 	 -28.638946 	 -28.689258 	 -28.783474 	 -18.222317
12.5 	 -18.414520 	 -28.560470 	 -28.878723 	 -28.603187 	 -18.414520
12.6 	 -18.200743 	 -29.064883 	 -28.739862 	 -29.163286 	 -18.200743
12.7 	 -18.557024 	 -28.696469 	 -29.057359 	 -28.560470 	 -18.557024
12.8 	 -18.489934 	 -28.878723 	 -28.363853 	 -28.827305 	 -18.489934
12.9 	 -18.013163 	 -28.496785 	 -29.049842 	 -28.525031 	 -18.013163
13.0 	 -18.697341 	 -28.864001 	 -28.696469 	 -28.783474 	 -18.697341
13.1 	 -18.127788 	 -28.871359 	 -28.667660 	 -29.170902 	 -18.127788
13.2 	 -18.472130 	 -28.546277 	 -28.886093 	 -28.391670 	 -18.472130
13.3 	 -18.250444 	 -29.193789 	 -28.674853 	 -29.072413 	 -18.250444
13.4 	 -18.399074 	 -28.496785 	 -28.827305 	 -28.710909 	 -18.399074
13.5 	 -18.756865 	 -28.682053 	 -28.610327 	 -28.617473 	 -18.756865
13.6 	 -17.943852 	 -28.856649 	 -28.937861 	 -29.110161 	 -17.943852
13.7 	 -18.786781 	 -28.827305 	 -29.034828 	 -28.653291 	 -18.786781
13.8 	 -18.228800 	 -29.027330 	 -28.489737 	 -29.012354 	 -18.228800
13.9 	 -18.306974 	 -28.412591 	 -29.019839 	 -28.398638 	 -18.306974
14.0 	 -18.604297 	 -28.864001 	 -28.646116 	 -28.790763 	 -18.604297
14.1 	 -18.147040 	 -28.739862 	 -28.667660 	 -28.975028 	 -18.147040
14.2 	 -18.568256 	 -28.581802 	 -29.042332 	 -28.574685 	 -18.568256
14.3 	 -18.263457 	 -29.426046 	 -28.747116 	 -29.132889 	 -18.263457
14.4 	 -18.418938 	 -28.725374 	 -28.886093 	 -28.834632 	 -18.418938
14.5 	 -18.761461 	 -28.667660 	 -28.496785 	 -28.581802 	 -18.761461
14.6 	 -17.895869 	 -28.638946 	 -28.900852 	 -28.856649 	 -17.895869
14.7 	 -18.791392 	 -28.761641 	 -29.087492 	 -28.768912 	 -18.791392
14.8 	 -18.280837 	 -29.224401 	 -28.539189 	 -29.148074 	 -18.280837
14.9 	 -18.078781 	 -28.482696 	 -29.117730 	 -28.496785 	 -18.078781
15.0 	 -18.775263 	 -28.982480 	 -28.682053 	 -28.960142 	 -18.775263
15.1 	 -18.256948 	 -28.841965 	 -28.703686 	 -28.878723 	 -18.256948
15.2 	 -18.602040 	 -28.567575 	 -28.790763 	 -28.482696 	 -18.602040
15.3 	 -18.087284 	 -29.034828 	 -28.718139 	 -29.216738 	 -18.087284
15.4 	 -18.474354 	 -28.674853 	 -28.930446 	 -28.510896 	 -18.474354
15.5 	 -18.348517 	 -28.878723 	 -28.468629 	 -28.790763 	 -18.348517
15.6 	 -18.097925 	 -28.610327 	 -29.034828 	 -28.754375 	 -18.097925
15.7 	 -18.919180 	 -28.834632 	 -28.631783 	 -28.827305 	 -18.919180
15.8 	 -18.147040 	 -28.856649 	 -28.646116 	 -28.915637 	 -18.147040
15.9 	 -18.496620 	 -28.603187 	 -29.125306 	 -28.377750 	 -18.496620
16.0 	 -18.293896 	 -29.148074 	 -28.560470 	 -29.170902 	 -18.293896
16.1 	 -18.416729 	 -28.553370 	 -28.975028 	 -28.624625 	 -18.416729
16.2 	 -18.588511 	 -28.982480 	 -28.539189 	 -25.618653 	 -18.588511
16.3 	 -18.108578 	 -28.638946 	 -28.886093 	 -17.749399 	 -17.749399
16.4 	 -28.596053 	 -28.975028 	 -29.247430 	 -18.733923 	 -18.733923
16.5 	 -28.864001 	 -28.682053 	 -28.610327 	 -18.217998 	 -18.217998
16.6 	 -28.878723 	 -28.930446 	 -28.834632 	 -18.593019 	 -18.593019
16.7 	 -28.923038 	 -28.689258 	 -28.776190 	 -18.194281 	 -18.194281
16.8 	 -28.646116 	 -28.900852 	 -28.574685 	 -18.298253 	 -18.298253
16.9 	 -29.087492 	 -28.560470 	 -29.102598 	 -18.561515 	 -18.561515
17.0 	 -28.377750 	 -28.539189 	 -28.510896 	 -18.063921 	 -18.063921
17.1 	 -28.886093 	 -29.224401 	 -28.930446 	 -18.733923 	 -18.733923
17.2 	 -28.783474 	 -28.567575 	 -28.900852 	 -18.217998 	 -18.217998
17.3 	 -28.703686 	 -29.012354 	 -28.496785 	 -18.339755 	 -18.339755
17.4 	 -29.140478 	 -28.682053 	 -29.186153 	 -18.554779 	 -18.554779
17.5 	 -28.454586 	 -28.617473 	 -28.475660 	 -18.162043 	 -18.162043
17.6 	 -28.989939 	 -28.952708 	 -28.997404 	 -18.498849 	 -18.498849
17.7 	 -28.581802 	 -28.696469 	 -28.447573 	 -18.170628 	 -18.170628
17.8 	 -28.834632 	 -28.967582 	 -28.776190 	 -18.518943 	 -18.518943
17.9 	 -28.718139 	 -28.517961 	 -28.768912 	 -18.220157 	 -18.220157
18.0 	 -28.610327 	 -29.087492 	 -28.732615 	 -18.487707 	 -18.487707
18.1 	 -29.034828 	 -28.660473 	 -29.239747 	 -18.559269 	 -18.559269
18.2 	 -28.696469 	 -28.468629 	 -28.239766 	 -17.860573 	 -17.860573
18.3 	 -28.930446 	 -29.072413 	 -29.087492 	 -18.830690 	 -18.830690
18.4 	 -28.510896 	 -28.574685 	 -28.725374 	 -18.315703 	 -18.315703
18.5 	 -28.856649 	 -29.004876 	 -28.710909 	 -18.372660 	 -18.372660
18.6 	 -28.893469 	 -28.489737 	 -28.849304 	 -18.252612 	 -18.252612
18.7 	 -28.349977 	 -28.923038 	 -28.674853 	 -18.383656 	 -18.383656
18.8 	 -29.293672 	 -29.034828 	 -28.864001 	 -18.615591 	 -18.615591
18.9 	 -28.653291 	 -28.363853 	 -28.703686 	 -18.132062 	 -18.132062
19.0 	 -28.596053 	 -29.293672 	 -28.923038 	 -18.752272 	 -18.752272
19.1 	 -29.019839 	 -28.596053 	 -29.019839 	 -18.315703 	 -18.315703
